GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Techniques de test,fr.univavignon.pokedex.api,Team,0,34,0,0,0,4,0,1,0,1
Techniques de test,fr.univavignon.pokedex.api,PokemonFactory,42,0,2,0,7,0,3,0,2,0
Techniques de test,fr.univavignon.pokedex.api,PokedexException,0,4,0,0,0,2,0,1,0,1
Techniques de test,fr.univavignon.pokedex.api,PokemonMetadataProvider,55,0,4,0,10,0,4,0,2,0
Techniques de test,fr.univavignon.pokedex.api,Pokedex,72,0,4,0,17,0,10,0,8,0
Techniques de test,fr.univavignon.pokedex.api,PokemonMetadata,0,33,0,0,0,12,0,6,0,6
Techniques de test,fr.univavignon.pokedex.api,PokemonTrainer,0,21,0,0,0,8,0,4,0,4
Techniques de test,fr.univavignon.pokedex.api,PokedexFactory,9,0,0,0,2,0,2,0,2,0
Techniques de test,fr.univavignon.pokedex.api,PokemonComparators,54,0,0,0,8,0,3,0,3,0
Techniques de test,fr.univavignon.pokedex.api,Pokemon,3,35,0,0,1,11,1,5,1,5
